ElementID,SECClasS_Code,SECClasS_Title,Family and Type,Volume,Area,Length,Phase_Created,Quantity of elements,WBS_L1,WBS_Title_L1,WBS_L2,WBS_Title_L2,WBS_L3,WBS_Title_L3,WBS_Code,Expected_lifespan,Mass,Co2_Total,BLC_Mass_Total,BLC_Co2_Total,Normalised requirement factor over building lifetime,Measure,Conversion_Factor,Unit_Cost,Cost,GWP_A1-A3,id,Mass_Concrete,Mass_Bricks,Mass_Tiles,Mass_Ceramics,Mass_Wood,Mass_Glass,Mass_Plastic,Mass_Bituminous_mixtures,Mass_Copper_bronze_brass,Mass_Aluminium,Mass_Iron_steel,Mass_Other_metal,Mass_Soil_stones,Mass_Dredging_spoil,Mass_Track_ballast,Mass_Insulation_materials,Mass_Asbestos_containing_materials,Mass_Gypsum_based_materials,Mass_Electrical_electronic_equipment,Mass_Cables,Co2_Concrete,Co2_Bricks,Co2_Tiles,Co2_Ceramics,Co2_Wood,Co2_Glass,Co2_Plastic,Co2_Bituminous_mixtures,Co2_Copper_bronze_brass,Co2_Aluminium,Co2_Iron_steel,Co2_Other_metal,Co2_Soil_stones,Co2_Dredging_spoil,Co2_Track_ballast,Co2_Insulation_materials,Co2_Asbestos_containing_materials,Co2_Gypsum_based_materials,Co2_Electrical_electronic_equipment,Co2_Cables,BLC_Mass_Concrete,BLC_Mass_Bricks,BLC_Mass_Tiles,BLC_Mass_Ceramics,BLC_Mass_Wood,BLC_Mass_Glass,BLC_Mass_Plastic,BLC_Mass_Bituminous_mixtures,BLC_Mass_Copper_bronze_brass,BLC_Mass_Aluminium,BLC_Mass_Iron_steel,BLC_Mass_Other_metal,BLC_Mass_Soil_stones,BLC_Mass_Dredging_spoil,BLC_Mass_Track_ballast,BLC_Mass_Insulation_materials,BLC_Mass_Asbestos_containing_materials,BLC_Mass_Gypsum_based_materials,BLC_Mass_Electrical_electronic_equipment,BLC_Mass_Cables,BLC_Co2_Concrete,BLC_Co2_Bricks,BLC_Co2_Tiles,BLC_Co2_Ceramics,BLC_Co2_Wood,BLC_Co2_Glass,BLC_Co2_Plastic,BLC_Co2_Bituminous_mixtures,BLC_Co2_Copper_bronze_brass,BLC_Co2_Aluminium,BLC_Co2_Iron_steel,BLC_Co2_Other_metal,BLC_Co2_Soil_stones,BLC_Co2_Dredging_spoil,BLC_Co2_Track_ballast,BLC_Co2_Insulation_materials,BLC_Co2_Asbestos_containing_materials,BLC_Co2_Gypsum_based_materials,BLC_Co2_Electrical_electronic_equipment,BLC_Co2_Cables
346265,Ss_25_13_50.PDE,Sistemas de parede de alvenaria - Masonry wall systems,Basic Wall - Wall_Ext_CBIM,3.29,10.37,2.69,,17,01_,Shell,01_02_,Loadbearing structural frame,01_02_03_,External walls,01_02_03_,60,0.0,0.0,0.0,0.0,0.1,A,0.0,0,0.0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346343,Ss_25_13_50.PDE,Sistemas de parede de alvenaria - Masonry wall systems,Basic Wall - Wall_Ext_CBIM,8.41,27.82,9.72,,17,01_,Shell,01_02_,Loadbearing structural frame,01_02_03_,External walls,01_02_03_,60,0.0,0.0,0.0,0.0,0.1,A,0.0,0,0.0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346394,Ss_25_13_50.PDE,Sistemas de parede de alvenaria - Masonry wall systems,Basic Wall - Wall_Ext_CBIM,1.86,5.84,2.07,,17,01_,Shell,01_02_,Loadbearing structural frame,01_02_03_,External walls,01_02_03_,60,0.0,0.0,0.0,0.0,0.1,A,0.0,0,0.0,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346461,Ss_25_13_50.PDE,Sistemas de parede de alvenaria - Masonry wall systems,Basic Wall - Wall_Ext_CBIM,6.2,19.54,8.25,,17,01_,Shell,01_02_,Loadbearing structural frame,01_02_03_,External walls,01_02_03_,60,0.0,0.0,0.0,0.0,0.1,A,0.0,0,0.0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347572,Ss_25_13_50.PDI,Sistemas de parede de alvenaria - Masonry wall systems,Basic Wall - Wall_Int_CBIM,2.68,19.86,6.06,,14,01_,Shell,01_03_,Non-load bearing elements,01_03_02_,Internal walls. partitions and doors,01_03_02_,30,0.0,0.0,0.0,0.0,0.2,A,0.0,0,0.0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347641,Ss_25_13_50.PDI,Sistemas de parede de alvenaria - Masonry wall systems,Basic Wall - Wall_Int_CBIM,3.1,22.95,6.19,,14,01_,Shell,01_03_,Non-load bearing elements,01_03_02_,Internal walls. partitions and doors,01_03_02_,30,0.0,0.0,0.0,0.0,0.2,A,0.0,0,0.0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347753,Ss_25_13_50.PDI,Sistemas de parede de alvenaria - Masonry wall systems,Basic Wall - Wall_Int_CBIM,0.74,5.48,1.95,,14,01_,Shell,01_03_,Non-load bearing elements,01_03_02_,Internal walls. partitions and doors,01_03_02_,30,0.0,0.0,0.0,0.0,0.2,A,0.0,0,0.0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347811,Ss_25_13_50.PDI,Sistemas de parede de alvenaria - Masonry wall systems,Basic Wall - Wall_Int_CBIM,2.04,15.12,4.15,,14,01_,Shell,01_03_,Non-load bearing elements,01_03_02_,Internal walls. partitions and doors,01_03_02_,30,0.0,0.0,0.0,0.0,0.2,A,0.0,0,0.0,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347972,Ss_25_13_50.PDI,Sistemas de parede de alvenaria - Masonry wall systems,Basic Wall - Wall_Int_CBIM,2.35,17.38,5.3,,14,01_,Shell,01_03_,Non-load bearing elements,01_03_02_,Internal walls. partitions and doors,01_03_02_,30,0.0,0.0,0.0,0.0,0.2,A,0.0,0,0.0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349648,Ss_25_13_50.PDI,Sistemas de parede de alvenaria - Masonry wall systems,Basic Wall - Wall_Int_CBIM,3.18,23.52,7.2,,14,01_,Shell,01_03_,Non-load bearing elements,01_03_02_,Internal walls. partitions and doors,01_03_02_,30,0.0,0.0,0.0,0.0,0.2,A,0.0,0,0.0,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
